"provider"	"name"	"street"	"city"	"state"	"zip"	"country"	"latitude"	"longitude"	"categories"	"phone"	"hours_monday"	"hours_tuesday"	"hours_wednesday"	"hours_thursday"	"hours_friday"	"hours_saturday"	"hours_sunday"	"name_score"	"distance"	"index"	"score.name_score"	"score.distance_score"	"score.phone_score"	"score.category_score"	"score.sum_score"	"score.matching"
"Google"	"Pizzéria NO.900 - Bernard, Montréal"	"1248 Avenue Bernard"	"Outremont"	"QC"	"H2V"	"Canada"	"45.5198778"	"-73.6084989"	"localservices, localservices, restaurants"	"+14383860900"	"11:30 AM – 10:00 PM"	"11:30 AM – 10:00 PM"	"11:30 AM – 10:00 PM"	"11:30 AM – 11:00 PM"	"11:30 AM – 11:00 PM"	"11:30 AM – 11:00 PM"	"11:30 AM – 10:00 PM"	 82	2.342889e+01	 90	41.0	10	10	20	 81.0	MATCHED
"Facebook"	"Pizzeria Bernard"		"Outremont"	"QC"		"Canada"	"45.52004"	"-73.60835"	"Restaurant"	"15144380900"	""	""	""	""	""	""	""	 81	5.914364e+00	 90	40.5	20	 0	20	 80.5	MATCHED
"Yelp"	"Pizzéria N° 900 Bernard"	"1248 Avenue Bernard"	"Outremont"	"QC"	"H2V 1V6"	""	"45.5200774394"	"-73.6084038019"	"Pizza, Restaurants, Food"	"4383860900, +14383860900"	"11:30-22:0"	"11:30-22:0"	"11:30-22:0"	"11:30-23:0"	"11:30-23:0"	"11:30-23:0"	"11:30-22:0"	  0	0.000000e+00	 90	 0.0	 0	 0	 0	  0.0	
"Google"	"Abyssinia Restaurant"	"884 Danforth Ave"	"Toronto"	"ON"	"M4J"	"Canada"	"43.6800603"	"-79.3397991"	"restaurants"	"+14167789798"	"11:00 AM – 11:00 PM"	"11:00 AM – 11:00 PM"	"11:00 AM – 11:00 PM"	"11:00 AM – 11:00 PM"	"11:00 AM – 11:00 PM"	"11:00 AM – 12:00 AM"	"11:00 AM – 11:00 PM"	 80	3.101116e+00	 95	40.0	20	10	20	 90.0	MATCHED
"Facebook"	"Abyssinia Ethiopian Restaurant"	"884 Danforth Ave"	"Toronto"	"ON"	"M4J 1L7"	"Canada"	"43.68014"	"-79.33981"	"Ethiopian Restaurant"	"167789798"	""	""	""	""	""	""	""	100	9.932203e+00	 95	50.0	20	 0	20	 90.0	MATCHED
"Yelp"	"Abyssinia Ethiopian Restaurant"	"884 Danforth Avenue"	"Toronto"	"ON"	"M4J 1L7"	""	"43.6800528131"	"-79.3398362026"	"Vegan, Ethiopian, Restaurants"	"4167789798, +14167789798"	"11:0-0:0"	"11:0-0:0"	"11:0-0:0"	"11:0-0:0"	"11:0-0:0"	"11:0-0:0"	"11:0-0:0"	  0	0.000000e+00	 95	 0.0	 0	 0	 0	  0.0	
"Google"	"Cordonnerie Cyr Nettoyeur et Couture"	"3441 Rue Ontario E"	"Montréal"	"QC"	"H1W"	"Canada"	"45.5435071"	"-73.5459385"	"homeservices, localservices, shopping"	"+15145244144"	"9:30 AM – 6:00 PM"	"9:30 AM – 6:00 PM"	"9:30 AM – 6:00 PM"	"9:30 AM – 9:00 PM"	"9:30 AM – 9:00 PM"	"10:00 AM – 5:00 PM"	"11:00 AM – 4:00 PM"	 59	3.748699e+00	102	29.5	20	10	20	 79.5	MATCHED
"Facebook"	"Cordonnerie Cyr"	"3441 rue Ontario Est"	"Montreal"	"QC"	"H1W1R1"	"Canada"	"45.54350483583"	"-73.545872455406"	"Locksmith, Shoe Repair Shop"	"145244144"	"09:30-18:00"	"09:30-18:00"	"09:30-18:00"	"09:30-21:00"	"09:30-21:00"	"10:00-17:00"	"11:00-16:00"	100	8.573011e+00	102	50.0	20	 0	 0	 70.0	MATCHED
"Yelp"	"Cordonnerie Cyr"	"3441 Rue Ontario E"	"Montréal"	"QC"	"H1W 1R1"	""	"45.5435262"	"-73.5459781"	"Fashion, Shopping, Leather Goods, Shoe Repair, Local Services"	"5145244144, +15145244144"	"9:30-18:0"	"9:30-18:0"	"9:30-18:0"	"9:30-21:0"	"9:30-21:0"	"10:0-17:0"	"9:30-18:0"	  0	0.000000e+00	102	 0.0	 0	 0	 0	  0.0	
"Google"	"Hello Bistro - Downtown"	"292 Forbes Ave"	"Pittsburgh"	"PA"	"15222"	"USA"	"40.4400451"	"-80.0010302"	"restaurants"	"+14124340100"	"10:30 AM – 8:00 PM"	"10:30 AM – 8:00 PM"	"10:30 AM – 8:00 PM"	"10:30 AM – 8:00 PM"	"10:30 AM – 8:00 PM"	"11:00 AM – 6:00 PM"	"11:00 AM – 6:00 PM"	 73	1.591586e+01	104	36.5	15	10	20	 81.5	MATCHED
"Facebook"	"Hello Bistro"	"292 Forbes Ave"	"Pittsburgh"	"PA"	"15222"	"United States"	"40.4399981"	"-80.0010337"	"Burger Restaurant, Salad Bar, New American Restaurant"	"4124340100"	"10:30-20:00"	"10:30-20:00"	"10:30-20:00"	"10:30-20:00"	"10:30-20:00"	"11:00-18:00"	"11:00-18:00"	100	1.858673e+01	104	50.0	15	10	20	 95.0	MATCHED
"Yelp"	"Hello Bistro"	"292 Forbes Ave"	"Pittsburgh"	"PA"	"15222"	""	"40.440093"	"-80.0008532"	"Restaurants, American (New), Salad, Burgers"	"4124340100, +14124340100"	"6:0-20:0"	"6:0-20:0"	"6:0-20:0"	"6:0-20:0"	"6:0-20:0"	"9:0-19:0"	"6:0-20:0"	  0	0.000000e+00	104	 0.0	 0	 0	 0	  0.0	
"Google"	"Avani Asian Indian Bistro"	"801 Matheson Blvd W"	"Mississauga"	"ON"	"L5V"	"Canada"	"43.6063153"	"-79.6918927"	"restaurants"	"+19055010021"	"12:00 – 3:00 PM, 5:00 – 10:00 PM"	"12:00 – 3:00 PM, 5:00 – 10:00 PM"	"12:00 – 3:00 PM, 5:00 – 10:00 PM"	"12:00 – 3:00 PM, 5:00 – 10:00 PM"	"12:00 – 3:00 PM, 5:00 – 10:30 PM"	"12:00 – 3:00 PM, 5:00 – 10:30 PM"	"12:00 – 3:00 PM, 5:00 – 10:00 PM"	100	8.243416e+00	117	50.0	20	10	20	100.0	MATCHED
"Facebook"	"Avani Asian Indian Bistro Restaurant"	"801 Matheson Blvd. West"	"Mississauga"	"ON"	"L5V 2N6"	"Canada"	"43.606336947942"	"-79.691964940585"	"Indian Restaurant"	"055010021"	"12:00-14:30"	"17:00-22:00"	"12:00-14:30"	"17:00-22:00"	"12:00-14:30"	"17:00-22:00"	"12:00-14:30"	 82	1.118473e+01	117	41.0	15	 0	20	 76.0	MATCHED
"Yelp"	"Avani Asian Indian bistro"	"801 Matheson Boulevard W, Unit 1"	"Mississauga"	"ON"	"L5V 2N6"	""	"43.6062430955"	"-79.6919154006"	"Restaurants, Indian, Asian Fusion"	"9055010021, +19055010021"	"17:0-22:0"	"17:0-22:0"	"17:0-22:0"	"17:0-22:0"	"17:0-22:30"	"17:0-22:30"	"17:0-22:0"	  0	0.000000e+00	117	 0.0	 0	 0	 0	  0.0	
"Google"	"Mattress Firm Ft. Apache"	"5195 S Fort Apache Rd Ste 105"	"Las Vegas"	"NV"	"89148"	"USA"	"36.0959652"	"-115.2976303"	"shopping, shopping, shopping"	"+17022203108"	"10:00 AM – 8:00 PM"	"10:00 AM – 8:00 PM"	"10:00 AM – 8:00 PM"	"10:00 AM – 8:00 PM"	"10:00 AM – 8:00 PM"	"10:00 AM – 7:00 PM"	"11:00 AM – 6:00 PM"	100	3.365296e-03	125	50.0	20	10	20	100.0	MATCHED
"Facebook"	"Mattress Firm"	"5195 S Ft Apache Rd"	"Las Vegas"	"NV"	"89148"	"United States"	"36.095940669403"	"-115.2976539731"	"Furniture Store"	"7022203108"	""	""	""	""	""	""	""	 72	3.459550e+00	125	36.0	20	10	20	 86.0	MATCHED
"Yelp"	"Mattress Firm Ft. Apache"	"5195 S Ft Apache Rd, Ste 105"	"Las Vegas"	"NV"	"89148"	""	"36.0959651809"	"-115.297630329"	"Home & Garden, Shopping, Furniture Stores, Mattresses, Home Decor"	"7022203108, +17022203108"	"10:0-20:0"	"10:0-20:0"	"10:0-19:0"	"10:0-20:0"	"10:0-20:0"	"10:0-19:0"	"10:0-20:0"	  0	0.000000e+00	125	 0.0	 0	 0	 0	  0.0	
"Google"	"Max's Restaurant, Cuisine of the Philippines"	"1290 E Flamingo Rd"	"Las Vegas"	"NV"	"89119"	"USA"	"36.114944"	"-115.1366173"	"restaurants"	"+17024334554"	"11:00 AM – 9:00 PM"	"11:00 AM – 9:00 PM"	"11:00 AM – 9:00 PM"	"11:00 AM – 9:00 PM"	"11:00 AM – 10:00 PM"	"11:00 AM – 10:00 PM"	"10:00 AM – 9:00 PM"	 54	9.661290e+00	145	27.0	20	10	20	 77.0	MATCHED
"Facebook"	"Max's Restaurant"	"1290 E Flamingo Rd"	"Las Vegas"	"NV"	"89119"	"United States"	"36.11486"	"-115.13665"	"Filipino Restaurant, Family Style Restaurant"	"7024334554"	"11:00-21:00"	"11:00-21:00"	"11:00-21:00"	"11:00-21:00"	"11:00-22:00"	"11:00-22:00"	"10:00-21:00"	100	9.954520e-01	145	50.0	20	10	20	100.0	MATCHED
"Yelp"	"Max's Restaurant"	"1290 E Flamingo Rd"	"Las Vegas"	"NV"	"89119"	""	"36.114859"	"-115.136639"	"Restaurants, Asian Fusion, Filipino, Seafood, Breakfast & Brunch"	"7024334554, +17024334554"	"11:0-21:0"	"11:0-21:0"	"11:0-21:0"	"11:0-21:0"	"11:0-22:0"	"11:0-22:0"	"11:0-21:0"	  0	0.000000e+00	145	 0.0	 0	 0	 0	  0.0	
"Google"	"Brothers Pizza & Wings"	"976 Pape Ave A"	"East York"	"ON"	"M4K"	"Canada"	"43.6878529"	"-79.3485195"	"restaurants"	"+16473515566"	"11:00 AM – 11:00 PM"	"11:00 AM – 11:00 PM"	"11:00 AM – 11:00 PM"	"11:00 AM – 11:00 PM"	"11:00 AM – 12:00 AM"	"11:00 AM – 12:00 AM"	"11:00 AM – 11:00 PM"	 84	9.621014e+00	155	42.0	20	10	20	 92.0	MATCHED
"Facebook"	"Brother's Pizza"	"976A Pape Avenue"	"Toronto"	"ON"		"Canada"	"43.68786"	"-79.34849"	"Pizza Place"	"473515566"	""	""	""	""	""	""	""	 75	7.119089e+00	155	37.5	20	 0	20	 77.5	MATCHED
"Yelp"	"Brother's Pizza and Wings"	"976A Pape Avenue"	"Toronto"	"ON"	"M4K 3V7"	""	"43.6878784"	"-79.3484053"	"Restaurants, Pizza"	"6473515566, +16473515566"	"9:0-22:0"	"9:0-22:0"	"9:0-22:0"	"9:0-22:0"	"9:0-22:0"	"9:0-22:0"	"9:0-22:0"	  0	0.000000e+00	155	 0.0	 0	 0	 0	  0.0	
"Google"	"The Cotton Room at Belfast Mill"	"144 Brevard Court Suite B"	"Charlotte"	"NC"	"28202"	"USA"	"35.226008"	"-80.846744"	"nightlife"	"+17043337160"	"Closed"	"5:00 PM – 12:00 AM"	"5:00 PM – 12:00 AM"	"5:00 PM – 12:00 AM"	"4:00 PM – 2:00 AM"	"4:00 PM – 2:00 AM"	"1:00 PM – 12:00 AM"	 65	0.000000e+00	163	32.5	20	10	20	 82.5	MATCHED
"Facebook"	"The Cotton Room at Belfast Mill"	"144 Brevard Court Ste. B"	"Charlotte"	"NC"	"28202"	"United States"	"35.22601"	"-80.84675"	"Speakeasy, Lounge"	"7043337160"	"17:00-23:59"	"17:00-23:59"	"17:00-23:59"	"16:00-02:00"	"16:00-02:00"	"13:00-00:00"	"NA-NA"	 65	5.892864e-01	163	32.5	20	10	20	 82.5	MATCHED
"Yelp"	"The Cotton Room"	"144 Brevard Ct, Ste B"	"Charlotte"	"NC"	"28202"	""	"35.226008"	"-80.846744"	"Bars, Cocktail Bars, Lounges, Nightlife"	"7043337160, +17043337160"	"17:0-0:0"	"17:0-0:0"	"17:0-0:0"	"17:0-0:0"	"16:0-2:0"	"16:0-2:0"	"17:0-0:0"	  0	0.000000e+00	163	 0.0	 0	 0	 0	  0.0	
"Google"	"Nobu Sushi"	"1813 Rue Jean-Talon Est"	"Montréal"	"QC"	"H2E"	"Canada"	"45.54822"	"-73.607034"	"localservices, localservices, restaurants"	"+15145646627"	"11:00 AM – 9:30 PM"	"11:00 AM – 9:30 PM"	"11:00 AM – 9:30 PM"	"11:00 AM – 9:30 PM"	"11:00 AM – 9:30 PM"	"12:00 – 9:30 PM"	"3:00 – 9:30 PM"	 84	1.801498e+01	166	42.0	15	10	20	 87.0	MATCHED
"Facebook"	"Sushi Nobu"	"1813 Jean-talon est"	"Montreal"	"QC"	"H2E 1T4"	"Canada"	"45.54828"	"-73.60705"	"Sushi Restaurant"	"145646627"	""	""	""	""	""	""	""	 84	2.473143e+01	166	42.0	10	 0	20	 72.0	MATCHED
"Yelp"	"Sushi Lobü"	"1813 Rue Jean-Talon E"	"Montréal"	"QC"	"H2E 1T4"	""	"45.5480687"	"-73.606952"	"Sushi Bars, Japanese, Restaurants"	"5145646627, +15145646627"	"11:0-21:30"	"11:0-21:30"	"11:0-21:30"	"11:0-21:30"	"11:0-21:30"	"12:0-21:30"	"11:0-21:30"	  0	0.000000e+00	166	 0.0	 0	 0	 0	  0.0	
"Google"	"The Spa at Lakeside 2.0 | Waxing, Facials, Massage, & Body Treatments"	"2620 Regatta Dr #112"	"Las Vegas"	"NV"	"89128"	"USA"	"36.2075389"	"-115.2681541"	"beautysvc, beautysvc, health"	"+17022548568"	"9:00 AM – 6:00 PM"	"9:00 AM – 6:00 PM"	"9:00 AM – 6:00 PM"	"9:00 AM – 6:00 PM"	"9:00 AM – 6:00 PM"	"9:00 AM – 6:00 PM"	"10:00 AM – 6:00 PM"	 54	2.785285e+00	171	27.0	20	10	20	 77.0	MATCHED
"Facebook"	"The Spa At Lakeside 2.0"	"2620 Regatta Dr, Ste 112"	"Las Vegas"	"NV"	"89128"	"United States"	"36.207524349555"	"-115.26807784698"	"Massage Service, Skin Care Service, Day Spa"	"7022548568"	"09:00-18:00"	"09:00-18:00"	"09:00-18:00"	"09:00-18:00"	"09:00-18:00"	"09:00-18:00"	"10:00-18:00"	100	5.311186e+00	171	50.0	20	10	20	100.0	MATCHED
"Yelp"	"The Spa at Lakeside 2.0"	"2620 Regatta Dr, Ste 112-114"	"Las Vegas"	"NV"	"89128"	""	"36.2075183"	"-115.2681365"	"Beauty & Spas, Skin Care, Massage, Day Spas"	"7022548568, +17022548568"	"9:0-18:0"	"9:0-18:0"	"9:0-18:0"	"9:0-18:0"	"9:0-18:0"	"9:0-18:0"	"9:0-18:0"	  0	0.000000e+00	171	 0.0	 0	 0	 0	  0.0	
"Google"	"The Roasting Company - Plaza Midwood"	"1332-B Central Ave"	"Charlotte"	"NC"	"28205"	"USA"	"35.2201663"	"-80.8156448"	"restaurants"	"+19808594567"	"11:00 AM – 12:00 AM"	"11:00 AM – 12:00 AM"	"11:00 AM – 2:00 AM"	"11:00 AM – 2:00 AM"	"11:00 AM – 2:00 AM"	"11:00 AM – 2:00 AM"	"11:00 AM – 12:00 AM"	 74	8.401534e+00	174	37.0	20	10	20	 87.0	MATCHED
"Facebook"	"RoCo - Roasting Company Plaza Midwood"	"1332 B Central Ave"	"Charlotte"	"NC"	"28205"	"United States"	"35.220216138183"	"-80.815689784545"	"New American Restaurant, Bar, Chicken Joint"	"9808594567"	"11:00-00:00"	"11:00-00:00"	"11:00-02:00"	"11:00-02:00"	"11:00-02:00"	"11:00-02:00"	"11:00-00:00"	 62	1.499208e+01	174	31.0	15	10	20	 76.0	MATCHED
"Yelp"	"The Roasting Company"	"1332 Central Ave"	"Charlotte"	"NC"	"28205"	""	"35.2200929"	"-80.8156233"	"Southern, Restaurants, American (Traditional), Sandwiches"	"9808594567, +19808594567"	"11:0-0:0"	"11:0-0:0"	"11:0-2:0"	"11:0-2:0"	"11:0-2:0"	"11:0-2:0"	"11:0-0:0"	  0	0.000000e+00	174	 0.0	 0	 0	 0	  0.0	
"Google"	"Jeff's Bucket Shop"	"1601 Montford Dr"	"Charlotte"	"NC"	"28209"	"USA"	"35.1708615"	"-80.8496225"	"nightlife"	"+17045250425"	"7:00 PM – 2:00 AM"	"7:00 PM – 2:00 AM"	"7:00 PM – 2:00 AM"	"7:00 PM – 2:00 AM"	"7:00 PM – 2:00 AM"	"7:00 PM – 2:00 AM"	"8:00 PM – 2:00 AM"	100	7.565944e+00	175	50.0	20	10	20	100.0	MATCHED
"Facebook"	"The Bucket Shop"	"1601 Montford Dr"	"Charlotte"	"NC"	"28209"	"United States"	"35.170976803019"	"-80.849566443853"	"Pub"	"7045250425"	"17:00-02:00"	"17:00-02:00"	"17:00-02:00"	"17:00-02:00"	"05:00-02:00"	"19:00-02:00"	"20:00-02:00"	 67	1.452453e+01	175	33.5	15	10	20	 78.5	MATCHED
"Yelp"	"Jeff's Bucket Shop"	"1601 Montford Dr"	"Charlotte"	"NC"	"28209"	""	"35.1708974"	"-80.8496931"	"Arts & Entertainment, Restaurants, Nightlife, Bars, Dive Bars, Music Venues, Karaoke"	"7045250425, +17045250425"	"19:0-2:0"	"19:0-2:0"	"19:0-2:0"	"19:0-2:0"	"19:0-2:0"	"19:0-2:0"	"19:0-2:0"	  0	0.000000e+00	175	 0.0	 0	 0	 0	  0.0	
"Google"	"The Commonplace Coffeehouse"	"5827 Forbes Ave"	"Pittsburgh"	"PA"	"15217"	"USA"	"40.4381928"	"-79.921914"	"restaurants, shopping"	"+14124220404"	"7:00 AM – 8:00 PM"	"7:00 AM – 8:00 PM"	"7:00 AM – 8:00 PM"	"7:00 AM – 8:00 PM"	"7:00 AM – 8:00 PM"	"8:00 AM – 8:00 PM"	"8:00 AM – 8:00 PM"	 80	7.498943e+00	177	40.0	20	10	 0	 70.0	MATCHED
"Facebook"	"The Commonplace Coffee Co."	"5827 Forbes Avenue"	"Pittsburgh"	"PA"	"15217"	"United States"	"40.4382"	"-79.9219"	"Coffee Shop"	"4124220404"	"07:00-20:00"	"07:00-20:00"	"07:00-20:00"	"07:00-20:00"	"07:00-20:00"	"08:00-20:00"	"08:00-20:00"	 84	7.355019e+00	177	42.0	20	10	20	 92.0	MATCHED
"Yelp"	"Commonplace Coffee"	"5827 Forbes Ave"	"Pittsburgh"	"PA"	"15217"	""	"40.4382549"	"-79.9219483"	"Coffee & Tea, Food"	"4124220404, +14124220404"	"7:0-20:0"	"7:0-20:0"	"7:0-20:0"	"7:0-20:0"	"7:0-20:0"	"8:0-20:0"	"7:0-20:0"	  0	0.000000e+00	177	 0.0	 0	 0	 0	  0.0	
"Google"	"Avant Gout"	"1108 Yonge St"	"Toronto"	"ON"	"M4W"	"Canada"	"43.6786225"	"-79.3904647"	"nightlife, restaurants"	"+14169163681"	"5:30 – 10:00 PM"	"5:30 – 10:00 PM"	"5:30 – 10:00 PM"	"5:30 – 10:00 PM"	"5:30 – 10:00 PM"	"5:30 – 10:00 PM"	"10:30 AM – 2:30 PM, 5:30 – 10:00 PM"	 65	0.000000e+00	181	32.5	20	10	20	 82.5	MATCHED
"Facebook"	"Avant Gout Restaurant"	"1108 Yonge St"	"Toronto"	"ON"	"M4W 2L6"	"Canada"	"43.67864"	"-79.39045"	"Restaurant"	"1(4169163681"	""	""	""	""	""	""	""	100	2.279406e+00	181	50.0	20	 0	20	 90.0	MATCHED
