"provider"	"name"	"street"	"city"	"state"	"zip"	"country"	"latitude"	"longitude"	"categories"	"phone"	"hours_monday"	"hours_tuesday"	"hours_wednesday"	"hours_thursday"	"hours_friday"	"hours_saturday"	"hours_sunday"	"name_score"	"distance"	"index"	"score.name_score"	"score.distance_score"	"score.phone_score"	"score.category_score"	"score.sum_score"	"score.matching"
"Google"	"Starbucks Indigo"	"Islington - City Centre West"	"Toronto"	"ON"	"M9C"	"Canada"	"43.6128348"	"-79.5557329"	"restaurants"	"+14166261995"	"8:00 AM – 9:30 PM"	"8:00 AM – 9:30 PM"	"8:00 AM – 9:30 PM"	"8:00 AM – 9:30 PM"	"8:00 AM – 10:00 PM"	"8:00 AM – 10:00 PM"	"10:00 AM – 7:00 PM"	 72	7.145466e+00	 22	36.0	20	 0	20	 76.0	MATCHED
"Facebook"	"Starbucks Canada"	"25 The West Mall"	"Toronto"	"ON"	"M9C 1B8"	"Canada"	"43.612889783882"	"-79.555671187119"	"Coffee Shop"	"(4166214954\""	"07:00-22:00"	"07:00-22:00"	"07:00-22:00"	"07:00-22:00"	"07:00-22:00"	"08:00-20:00"	"09:00-20:00"	 72	5.282414e+00	 22	36.0	20	 0	20	 76.0	MATCHED
"Yelp"	"Starbucks"	"1606-25 The West Mall"	"Toronto"	"ON"	"M9C 1B8"	""	"43.6128989614"	"-79.5557354906"	"Coffee & Tea, Food, Restaurants, Cafes"	"4166214954, +14166214954"	"6:0-22:0"	"6:0-22:0"	"6:0-22:0"	"6:0-22:0"	"6:0-22:0"	"7:0-22:0"	"6:0-22:0"	  0	0.000000e+00	 22	 0.0	 0	 0	 0	  0.0	
"Google"	"Guu Izakaya"	"1314 Queen St W"	"Toronto"	"ON"	"M6K"	"Canada"	"43.6418337"	"-79.4311034"	"restaurants"	"+16473511314"	"5:30 – 11:00 PM"	"5:30 – 11:00 PM"	"5:30 – 11:00 PM"	"5:30 – 11:00 PM"	"5:30 PM – 12:00 AM"	"5:30 PM – 12:00 AM"	"5:30 – 11:00 PM"	 73	3.884135e+00	 25	36.5	20	10	20	 86.5	MATCHED
"Facebook"	"Guu Izakaya Toronto"	"1314 Queen Street West"	"Toronto"	"ON"	"M6K 1L4"	"Canada"	"43.64192"	"-79.43111"	"Japanese Restaurant, Tapas Bar & Restaurant"	"473511314"	"17:30-23:00"	"17:30-23:00"	"17:30-23:00"	"17:30-23:00"	"17:30-00:00"	"17:30-12:00"	"17:30-23:00"	100	6.075029e+00	 25	50.0	20	 0	20	 90.0	MATCHED
"Yelp"	"Guu Izakaya Toronto"	"1314 Queen Street W"	"Toronto"	"ON"	"M6K 1L4"	""	"43.6418673011"	"-79.4310904075"	"Restaurants, Japanese, Izakaya, Tapas Bars"	"6473511314, +16473511314"	"17:30-23:0"	"17:30-23:0"	"17:30-23:0"	"17:30-23:0"	"17:30-0:0"	"17:30-0:0"	"17:30-23:0"	  0	0.000000e+00	 25	 0.0	 0	 0	 0	  0.0	
"Google"	"Aritzia"	"280 Queen St W"	"Toronto"	"ON"	"M5V"	"Canada"	"43.6497243"	"-79.3926914"	"shopping, shopping"	"+14169779919"	"10:00 AM – 9:00 PM"	"10:00 AM – 9:00 PM"	"10:00 AM – 9:00 PM"	"10:00 AM – 9:00 PM"	"10:00 AM – 9:00 PM"	"10:00 AM – 8:00 PM"	"11:00 AM – 7:00 PM"	100	1.024747e-09	 29	50.0	20	10	20	100.0	MATCHED
"Facebook"	"Aritzia"	"280 Queen St W"	"Toronto"	"ON"	"M5V 2A1"	"Canada"	"43.64978"	"-79.39265"	"Women's Clothing Store"	"(4169779919"	"10:00-21:00"	"10:00-21:00"	"10:00-21:00"	"10:00-21:00"	"10:00-21:00"	"10:00-20:00"	"11:00-19:00"	100	7.040328e+00	 29	50.0	20	 0	20	 90.0	MATCHED
"Yelp"	"Aritzia"	"280 Queen St W"	"Toronto"	"ON"	"M5V 2A1"	""	"43.6497243"	"-79.3926914"	"Shopping, Accessories, Women's Clothing, Fashion"	"4169779919, +14169779919"	"10:0-21:0"	"10:0-21:0"	"10:0-21:0"	"10:0-21:0"	"10:0-21:0"	"9:30-21:0"	"10:0-21:0"	  0	0.000000e+00	 29	 0.0	 0	 0	 0	  0.0	
"Google"	"Bulldog Coffee"	"111 Richmond St W"	"Toronto"	"ON"	"M5H"	"Canada"	"43.650352"	"-79.383795"	"restaurants, shopping"	"+14166062275"	"7:00 AM – 5:00 PM"	"7:00 AM – 5:00 PM"	"7:00 AM – 5:00 PM"	"7:00 AM – 5:00 PM"	"7:00 AM – 5:00 PM"	"10:00 AM – 5:00 PM"	"Closed"	100	1.432715e+01	 32	50.0	15	10	20	 95.0	MATCHED
"Facebook"	"Bulldog Coffee"	"111  Richmond St W"	"Toronto"	"ON"	"M5H 2G4"	"Canada"	"43.65035"	"-79.38378"	"Restaurant"	"14166062275"	""	""	""	""	""	""	""	100	1.530546e+01	 32	50.0	15	 0	20	 85.0	MATCHED
"Yelp"	"Bulldog Coffee"	"111 Richmond Street W"	"Toronto"	"ON"	"M5H 3K6"	""	"43.6502911"	"-79.3839517"	"Cafes, Coffee & Tea, Food, Restaurants, Public Markets, Shopping"	"4166062275, +14166062275"	"8:0-18:0"	"8:0-18:0"	"8:0-18:0"	"8:0-18:0"	"8:0-18:0"	"8:0-18:0"	"8:0-18:0"	  0	0.000000e+00	 32	 0.0	 0	 0	 0	  0.0	
"Google"	"Café Santropol"	"3990 Rue Saint-Urbain"	"Montréal"	"QC"	"H2W"	"Canada"	"45.5155825"	"-73.580557"	"restaurants"	"+15148423110"	"11:00 AM – 10:00 PM"	"11:00 AM – 10:00 PM"	"11:00 AM – 10:00 PM"	"11:00 AM – 10:00 PM"	"11:00 AM – 10:00 PM"	"11:00 AM – 10:00 PM"	"11:00 AM – 10:00 PM"	100	7.732499e+00	 45	50.0	20	10	20	100.0	MATCHED
"Facebook"	"Café Santropol"	"3990 St-Urbain"	"Montreal"	"QC"	"H2W 1T7"	"Canada"	"45.51555"	"-73.58054"	"Restaurant, Coffee Shop, Sandwich Shop"	"1(5148423110"	"11:00-22:00"	"11:00-22:00"	"11:00-22:00"	"11:00-22:00"	"11:00-22:00"	"11:00-20:00"	"11:00-22:00"	100	1.033885e+01	 45	50.0	15	 0	20	 85.0	MATCHED
"Yelp"	"Café Santropol"	"3990, Rue Saint-Urbain"	"Montréal"	"QC"	"H2W 1T7"	""	"45.5156379"	"-73.5804972"	"Restaurants, Sandwiches, Vegetarian"	"5148423110, +15148423110"	"8:30-22:30"	"8:30-22:30"	"8:30-22:30"	"8:30-22:30"	"8:30-22:30"	"8:30-22:30"	"8:30-22:30"	  0	0.000000e+00	 45	 0.0	 0	 0	 0	  0.0	
"Google"	"Artful Dodger Pub"	"10 Isabella St"	"Toronto"	"ON"	"M4Y"	"Canada"	"43.6677884"	"-79.3851613"	"nightlife, restaurants"	"+14169649511"	"11:00 AM – 2:00 AM"	"11:00 AM – 2:00 AM"	"11:00 AM – 2:00 AM"	"11:00 AM – 2:00 AM"	"11:00 AM – 2:00 AM"	"11:00 AM – 2:00 AM"	"11:00 AM – 2:00 AM"	100	1.197006e+01	 58	50.0	15	10	20	 95.0	MATCHED
"Facebook"	"Artful Dodger"	"10 Isabella St"	"Toronto"	"ON"	"M4Y 1N1"	"Canada"	"43.66785"	"-79.38518"	"Pub, Bar & Grill"	"169649511"	"11:00-02:00"	"11:00-02:00"	"11:00-02:00"	"11:00-02:00"	"11:00-02:00"	"11:00-02:00"	"11:00-02:00"	 87	4.957792e+00	 58	43.5	20	 0	20	 83.5	MATCHED
"Yelp"	"Artful Dodger Pub"	"10 Isabella Street"	"Toronto"	"ON"	"M4Y 1N1"	""	"43.6678941"	"-79.3851886"	"Nightlife, Pubs, Bars"	"4169649511, +14169649511"	"11:0-2:0"	"11:0-2:0"	"11:0-2:0"	"11:0-2:0"	"11:0-2:0"	"11:0-2:0"	"11:0-2:0"	  0	0.000000e+00	 58	 0.0	 0	 0	 0	  0.0	
"Google"	"Black Dice Cafe"	"1574 Dundas St W"	"Toronto"	"ON"	"M6K"	"Canada"	"43.649963"	"-79.4344206"	"nightlife"	""	"7:30 PM – 2:00 AM"	"7:30 PM – 2:00 AM"	"7:30 PM – 2:00 AM"	"7:30 PM – 2:00 AM"	"7:30 PM – 2:00 AM"	"7:30 PM – 2:00 AM"	"7:30 PM – 2:00 AM"	100	1.277327e+00	 66	50.0	20	 0	20	 90.0	MATCHED
"Facebook"	"Black Dice Cafe"	"1574 Dundas Street West"	"Toronto"	"ON"	"M6K 1T8"	"Canada"	"43.64997"	"-79.43441"	"Bar"	"477481574"	"19:30-02:00"	"19:30-02:00"	"19:30-02:00"	"19:30-02:00"	"19:30-02:00"	"19:30-02:00"	"19:30-02:00"	100	4.918666e-01	 66	50.0	20	 0	20	 90.0	MATCHED
"Yelp"	"Black Dice Cafe"	"1574 Dundas Street W"	"Toronto"	"ON"	"M6K 1T8"	""	"43.6499734"	"-79.4344139"	"Bars, Nightlife, Dive Bars"	"6477481574, +16477481574"	"19:30-2:0"	"19:30-2:0"	"19:30-2:0"	"19:30-2:0"	"19:30-2:0"	"19:30-2:0"	"19:30-2:0"	  0	0.000000e+00	 66	 0.0	 0	 0	 0	  0.0	
"Google"	"Château Kabab"	"2140 Rue Guy"	"Montréal"	"QC"	"H3H"	"Canada"	"45.4958857"	"-73.5801559"	"restaurants"	"+15149321114"	"11:00 AM – 12:00 AM"	"11:00 AM – 12:00 AM"	"11:00 AM – 12:00 AM"	"11:00 AM – 12:00 AM"	"11:00 AM – 12:00 AM"	"11:00 AM – 12:00 AM"	"11:00 AM – 12:00 AM"	100	1.030962e+01	 67	50.0	15	10	20	 95.0	MATCHED
"Facebook"	"Château Kabab"	"2140, rue Guy"	"Montreal"	"QC"	"H3H 2L8"	"Canada"	"45.49607"	"-73.58068"	"Barbecue Restaurant, Middle Eastern Restaurant, Mediterranean Restaurant"	"149321114"	""	""	""	""	""	""	""	100	3.851986e+01	 67	50.0	 5	 0	20	 75.0	MATCHED
"Yelp"	"Château Kabab"	"2140 Rue Guy"	"Montréal"	"QC"	"H3H 2L8"	""	"45.4958633"	"-73.5802841"	"Halal, Middle Eastern, Restaurants, Kebab, Persian/Iranian"	"5149321114, +15149321114"	"11:0-0:0"	"11:0-0:0"	"11:0-0:0"	"11:0-0:0"	"11:0-0:0"	"11:0-0:0"	"11:0-0:0"	  0	0.000000e+00	 67	 0.0	 0	 0	 0	  0.0	
"Google"	"Thyme Maternity"	"1900 Eglinton Ave E"	"Scarborough"	"ON"	"M1L"	"Canada"	"43.728053"	"-79.294142"	"shopping, shopping"	"+14167518038"	"10:00 AM – 9:00 PM"	"10:00 AM – 9:00 PM"	"10:00 AM – 9:00 PM"	"10:00 AM – 9:00 PM"	"10:00 AM – 9:00 PM"	"10:00 AM – 6:00 PM"	"11:00 AM – 5:00 PM"	100	8.661196e+01	 88	50.0	-5	10	20	 75.0	MATCHED
"Facebook"	"Thyme Maternity"	"1900 Eglinton Ave. E."	"Toronto"	"ON"	"M1L2L9"	"Canada"	"43.727339920281"	"-79.293426275253"	"Women's Clothing Store"	"167518038"	"10:00-21:00"	"10:00-21:00"	"10:00-21:00"	"10:00-21:00"	"10:00-21:00"	"10:00-18:00"	"11:00-17:00"	100	4.299099e+01	 88	50.0	 2	 0	20	 72.0	MATCHED
"Yelp"	"Thyme Maternity"	"1900 Eglinton Avenue E"	"Scarborough"	"ON"	"M1L 2L9"	""	"43.7272867"	"-79.2939556"	"Shopping, Fashion, Maternity Wear, Accessories, Women's Clothing"	"4167518038, +14167518038"	"10:0-21:0"	"10:0-21:0"	"10:0-21:0"	"10:0-21:0"	"10:0-21:0"	"10:0-18:0"	"10:0-21:0"	  0	0.000000e+00	 88	 0.0	 0	 0	 0	  0.0	
"Google"	"Pizzéria NO.900 - Bernard, Montréal"	"1248 Avenue Bernard"	"Outremont"	"QC"	"H2V"	"Canada"	"45.5198778"	"-73.6084989"	"localservices, localservices, restaurants"	"+14383860900"	"11:30 AM – 10:00 PM"	"11:30 AM – 10:00 PM"	"11:30 AM – 10:00 PM"	"11:30 AM – 11:00 PM"	"11:30 AM – 11:00 PM"	"11:30 AM – 11:00 PM"	"11:30 AM – 10:00 PM"	 82	2.342889e+01	 90	41.0	10	10	20	 81.0	MATCHED
"Facebook"	"Pizzeria Bernard"		"Outremont"	"QC"		"Canada"	"45.52004"	"-73.60835"	"Restaurant"	"15144380900"	""	""	""	""	""	""	""	 81	5.914364e+00	 90	40.5	20	 0	20	 80.5	MATCHED
"Yelp"	"Pizzéria N° 900 Bernard"	"1248 Avenue Bernard"	"Outremont"	"QC"	"H2V 1V6"	""	"45.5200774394"	"-73.6084038019"	"Pizza, Restaurants, Food"	"4383860900, +14383860900"	"11:30-22:0"	"11:30-22:0"	"11:30-22:0"	"11:30-23:0"	"11:30-23:0"	"11:30-23:0"	"11:30-22:0"	  0	0.000000e+00	 90	 0.0	 0	 0	 0	  0.0	
"Google"	"Picks"	"1407 Rue Saint-Marc"	"Montréal"	"QC"	"H3H"	"Canada"	"45.49308"	"-73.580634"	"localservices, localservices, restaurants"	"+15149371937"	"11:45 AM – 11:00 PM"	"11:45 AM – 11:00 PM"	"11:45 AM – 11:00 PM"	"11:45 AM – 11:00 PM"	"11:45 AM – 11:00 PM"	"1:00 – 11:00 PM"	"2:00 – 10:00 PM"	100	0.000000e+00	 92	50.0	20	10	20	100.0	MATCHED
"Facebook"	"PICKS"	"1407 St Marc"	"Montreal"	"QC"	"h3h2g4"	"Canada"	"45.49313"	"-73.58065"	"Burger Restaurant, Fast Food Restaurant, Korean Restaurant"	"149371937"	"11:30-23:00"	"11:30-23:00"	"11:30-23:00"	"11:30-23:00"	"11:30-23:00"	"13:00-23:00"	"14:00-22:00"	100	5.704292e+00	 92	50.0	20	 0	20	 90.0	MATCHED
"Yelp"	"Picks"	"1407 Rue Saint-Marc"	"Montréal"	"QC"	"H3H 2G4"	""	"45.49308"	"-73.580634"	"Burgers, Restaurants, Fast Food"	"5149371937, +15149371937"	"11:30-23:0"	"11:30-23:0"	"11:30-23:0"	"11:30-23:0"	"11:30-23:0"	"13:0-23:0"	"11:30-23:0"	  0	0.000000e+00	 92	 0.0	 0	 0	 0	  0.0	
"Google"	"Abyssinia Restaurant"	"884 Danforth Ave"	"Toronto"	"ON"	"M4J"	"Canada"	"43.6800603"	"-79.3397991"	"restaurants"	"+14167789798"	"11:00 AM – 11:00 PM"	"11:00 AM – 11:00 PM"	"11:00 AM – 11:00 PM"	"11:00 AM – 11:00 PM"	"11:00 AM – 11:00 PM"	"11:00 AM – 12:00 AM"	"11:00 AM – 11:00 PM"	 80	3.101116e+00	 95	40.0	20	10	20	 90.0	MATCHED
"Facebook"	"Abyssinia Ethiopian Restaurant"	"884 Danforth Ave"	"Toronto"	"ON"	"M4J 1L7"	"Canada"	"43.68014"	"-79.33981"	"Ethiopian Restaurant"	"167789798"	""	""	""	""	""	""	""	100	9.932203e+00	 95	50.0	20	 0	20	 90.0	MATCHED
"Yelp"	"Abyssinia Ethiopian Restaurant"	"884 Danforth Avenue"	"Toronto"	"ON"	"M4J 1L7"	""	"43.6800528131"	"-79.3398362026"	"Vegan, Ethiopian, Restaurants"	"4167789798, +14167789798"	"11:0-0:0"	"11:0-0:0"	"11:0-0:0"	"11:0-0:0"	"11:0-0:0"	"11:0-0:0"	"11:0-0:0"	  0	0.000000e+00	 95	 0.0	 0	 0	 0	  0.0	
"Google"	"Cordonnerie Cyr Nettoyeur et Couture"	"3441 Rue Ontario E"	"Montréal"	"QC"	"H1W"	"Canada"	"45.5435071"	"-73.5459385"	"homeservices, localservices, shopping"	"+15145244144"	"9:30 AM – 6:00 PM"	"9:30 AM – 6:00 PM"	"9:30 AM – 6:00 PM"	"9:30 AM – 9:00 PM"	"9:30 AM – 9:00 PM"	"10:00 AM – 5:00 PM"	"11:00 AM – 4:00 PM"	 59	3.748699e+00	102	29.5	20	10	20	 79.5	MATCHED
"Facebook"	"Cordonnerie Cyr"	"3441 rue Ontario Est"	"Montreal"	"QC"	"H1W1R1"	"Canada"	"45.54350483583"	"-73.545872455406"	"Locksmith, Shoe Repair Shop"	"145244144"	"09:30-18:00"	"09:30-18:00"	"09:30-18:00"	"09:30-21:00"	"09:30-21:00"	"10:00-17:00"	"11:00-16:00"	100	8.573011e+00	102	50.0	20	 0	 0	 70.0	MATCHED
"Yelp"	"Cordonnerie Cyr"	"3441 Rue Ontario E"	"Montréal"	"QC"	"H1W 1R1"	""	"45.5435262"	"-73.5459781"	"Fashion, Shopping, Leather Goods, Shoe Repair, Local Services"	"5145244144, +15145244144"	"9:30-18:0"	"9:30-18:0"	"9:30-18:0"	"9:30-21:0"	"9:30-21:0"	"10:0-17:0"	"9:30-18:0"	  0	0.000000e+00	102	 0.0	 0	 0	 0	  0.0	
"Google"	"Nobis"	"360 Queen St W"	"Toronto"	"ON"	"M5V"	"Canada"	"43.6490985"	"-79.3956227"	"shopping, shopping"	"+14169798886"	"11:00 AM – 8:00 PM"	"11:00 AM – 8:00 PM"	"11:00 AM – 8:00 PM"	"11:00 AM – 8:00 PM"	"11:00 AM – 8:00 PM"	"11:00 AM – 8:00 PM"	"12:00 – 7:00 PM"	100	1.547214e+01	110	50.0	15	10	20	 95.0	MATCHED
"Facebook"	"Nobis"	"360 Queen Street West"	"Toronto"	"ON"	"m5v 2a2"	"Canada"	"43.64922"	"-79.39565"	"Clothing Store"	"14169798886"	"11:00-20:00"	"11:00-20:00"	"11:00-20:00"	"11:00-20:00"	"11:00-20:00"	"11:00-20:00"	"12:00-19:00"	100	3.281940e+00	110	50.0	20	 0	20	 90.0	MATCHED
"Yelp"	"Nobis"	"360 Queen Steet W"	"Toronto"	"ON"	"M5V 2A2"	""	"43.649229"	"-79.3956888"	"Shopping, Children's Clothing, Men's Clothing, Women's Clothing, Fashion"	"4169798886, +14169798886"	"11:0-20:0"	"11:0-20:0"	"11:0-20:0"	"11:0-20:0"	"11:0-20:0"	"11:0-20:0"	"11:0-20:0"	  0	0.000000e+00	110	 0.0	 0	 0	 0	  0.0	
"Google"	"Tilden"	"941 Liberty Ave"	"Pittsburgh"	"PA"	"15222"	"USA"	"40.4435542"	"-79.9966108"	"nightlife, nightlife"	"+14122812040"	"2:00 – 3:30 AM"	"2:00 – 3:30 AM"	"2:00 – 3:30 AM"	"2:00 – 3:30 AM"	"2:00 – 3:30 AM"	"2:00 – 3:30 AM"	"2:00 – 3:30 AM"	100	1.213101e+00	115	50.0	20	 0	20	 90.0	MATCHED
"Facebook"	"Tilden"	"941 Liberty Ave"	"Pittsburgh"	"PA"	"15222"	"United States"	"40.44355"	"-79.99662"	"Dance & Night Club"	"4123910804"	"00:00-04:00"	"00:00-04:00"	"00:00-04:00"	"00:00-04:00"	"00:00-04:00"	"00:00-04:00"	"00:00-04:00"	100	2.117955e+00	115	50.0	20	10	 0	 80.0	MATCHED
"Yelp"	"Tilden"	"941 Liberty Ave"	"Pittsburgh"	"PA"	"15222"	""	"40.4435586"	"-79.9965977"	"Nightlife, Dance Clubs"	"4123910804, +14123910804"	"14:0-2:0"	"14:0-2:0"	"14:0-2:0"	"14:0-2:0"	"14:0-2:0"	"14:0-2:0"	"14:0-2:0"	  0	0.000000e+00	115	 0.0	 0	 0	 0	  0.0	
"Google"	"Avani Asian Indian Bistro"	"801 Matheson Blvd W"	"Mississauga"	"ON"	"L5V"	"Canada"	"43.6063153"	"-79.6918927"	"restaurants"	"+19055010021"	"12:00 – 3:00 PM, 5:00 – 10:00 PM"	"12:00 – 3:00 PM, 5:00 – 10:00 PM"	"12:00 – 3:00 PM, 5:00 – 10:00 PM"	"12:00 – 3:00 PM, 5:00 – 10:00 PM"	"12:00 – 3:00 PM, 5:00 – 10:30 PM"	"12:00 – 3:00 PM, 5:00 – 10:30 PM"	"12:00 – 3:00 PM, 5:00 – 10:00 PM"	100	8.243416e+00	117	50.0	20	10	20	100.0	MATCHED
"Facebook"	"Avani Asian Indian Bistro Restaurant"	"801 Matheson Blvd. West"	"Mississauga"	"ON"	"L5V 2N6"	"Canada"	"43.606336947942"	"-79.691964940585"	"Indian Restaurant"	"055010021"	"12:00-14:30"	"17:00-22:00"	"12:00-14:30"	"17:00-22:00"	"12:00-14:30"	"17:00-22:00"	"12:00-14:30"	 82	1.118473e+01	117	41.0	15	 0	20	 76.0	MATCHED
"Yelp"	"Avani Asian Indian bistro"	"801 Matheson Boulevard W, Unit 1"	"Mississauga"	"ON"	"L5V 2N6"	""	"43.6062430955"	"-79.6919154006"	"Restaurants, Indian, Asian Fusion"	"9055010021, +19055010021"	"17:0-22:0"	"17:0-22:0"	"17:0-22:0"	"17:0-22:0"	"17:0-22:30"	"17:0-22:30"	"17:0-22:0"	  0	0.000000e+00	117	 0.0	 0	 0	 0	  0.0	
"Google"	"Kitchen Stuff Plus"	"650 Matheson Blvd W"	"Mississauga"	"ON"	"L5R"	"Canada"	"43.6098574"	"-79.6892068"	"shopping, shopping, shopping"	"+19058908909"	"9:30 AM – 9:00 PM"	"9:30 AM – 9:00 PM"	"9:30 AM – 9:00 PM"	"9:30 AM – 9:00 PM"	"9:30 AM – 9:00 PM"	"9:30 AM – 7:00 PM"	"10:00 AM – 6:00 PM"	100	9.059510e+00	127	50.0	20	10	20	100.0	MATCHED
"Facebook"	"Kitchen Stuff Plus"	"650 Matheson Boulevard West"	"Mississauga"	"ON"	"L5R3T2"	"Canada"	"43.60987"	"-79.68897"	"Discount Store"	"19058908909"	""	""	""	""	""	""	""	100	2.358026e+01	127	50.0	10	 0	20	 80.0	MATCHED
"Yelp"	"Kitchen Stuff Plus"	"650 Matheson Boulevard W, Unit C2"	"Mississauga"	"ON"	"L5R 3T2"	""	"43.6099326977"	"-79.6892494459"	"Kitchen & Bath, Shopping, Home & Garden, Home Decor"	"9058908909, +19058908909"	"9:30-21:0"	"9:30-21:0"	"9:30-21:0"	"9:30-21:0"	"9:30-21:0"	"9:30-19:0"	"9:30-21:0"	  0	0.000000e+00	127	 0.0	 0	 0	 0	  0.0	
"Google"	"Cabana Tanning Spa"	"2231 Victoria Park Ave"	"Scarborough"	"ON"	"M1R"	"Canada"	"43.7617444"	"-79.3166032"	"beautysvc"	"+16473464380"	"10:00 AM – 9:00 PM"	"10:00 AM – 9:00 PM"	"10:00 AM – 9:00 PM"	"10:00 AM – 9:00 PM"	"10:00 AM – 9:00 PM"	"10:00 AM – 6:00 PM"	"12:00 – 5:00 PM"	100	9.517977e+00	142	50.0	20	 0	20	 90.0	MATCHED
"Facebook"	"Cabana Tanning Salon"	"2231 Victoria Park Ave Suite 5"	"Toronto"	"ON"	"M1R 1V8"	"Canada"	"43.761654674575"	"-79.316511781544"	"Tanning Salon"	"14164412669"	""	""	""	""	""	""	""	 89	2.141259e+01	142	44.5	10	 0	20	 74.5	MATCHED
"Yelp"	"Cabana Tanning Spa"	"2231 Victoria Park Avenue"	"Scarborough"	"ON"	"M1R 1V8"	""	"43.7618282"	"-79.3166267"	"Cosmetics & Beauty Supply, Tanning Beds, Shopping, Beauty & Spas, Tanning"	"4164412669, +14164412669"	"10:0-21:0"	"10:0-21:0"	"10:0-21:0"	"10:0-21:0"	"10:0-21:0"	"10:0-18:0"	"10:0-21:0"	  0	0.000000e+00	142	 0.0	 0	 0	 0	  0.0	
