"provider"	"name"	"street"	"city"	"state"	"zip"	"country"	"latitude"	"longitude"	"categories"	"phone"	"hours_monday"	"hours_tuesday"	"hours_wednesday"	"hours_thursday"	"hours_friday"	"hours_saturday"	"hours_sunday"	"name_score"	"distance"	"index"	"score.name_score"	"score.distance_score"	"score.phone_score"	"score.category_score"	"score.sum_score"	"score.matching"
"Facebook"	"Larry's Great Western Meats"	"420 S Valley View Blvd"	"Las Vegas"	"NV"	"89107"	"United States"	"36.166803232312"	"-115.19308482225"	"Specialty Grocery Store, Butcher Shop"	"7028773182"	"09:00-19:00"	"09:00-19:00"	"09:00-19:00"	"09:00-19:00"	"09:00-19:00"	"09:00-19:00"	"09:00-15:00"	100	8.467895e+00	 74	50.0	20	10	20	100.0	MATCHED
"Yelp"	"Larry's Great Western Meats"	"420 S Valley View Blvd"	"Las Vegas"	"NV"	"89107"	""	"36.1667702"	"-115.1931697"	"Food, Meat Shops, Butcher, Wholesalers, Professional Services, Specialty Food"	"7028773182, +17028773182"	"8:0-18:0"	"8:0-18:0"	"8:0-18:0"	"8:0-18:0"	"8:0-18:0"	"8:0-18:0"	"8:0-18:0"	  0	0.000000e+00	 74	 0.0	 0	 0	 0	  0.0	
"Google"	"Residence Inn by Marriott Las Vegas Hughes Center"	"370 Hughes Center Dr"	"Las Vegas"	"NV"	"89169"	"USA"	"36.1157812"	"-115.1558214"	"localservices"	"+17026500040"	"Open 24 hours"	"Open 24 hours"	"Open 24 hours"	"Open 24 hours"	"Open 24 hours"	"Open 24 hours"	"Open 24 hours"	100	4.225335e-03	 83	50.0	20	10	 0	 80.0	MATCHED
"Facebook"	"Residence Inn by Marriott Las Vegas Hughes Center"	"370 Hughes Center Dr"	"Las Vegas"	"NV"	"89169"	"United States"	"36.115822137624"	"-115.15593726018"	"Hotel"	"7026500040"	""	""	""	""	""	""	""	100	1.136913e+01	 83	50.0	15	10	20	 95.0	MATCHED
"Yelp"	"Residence Inn by Marriott Las Vegas Hughes Center"	"370 Hughes Center Dr"	"Las Vegas"	"NV"	"89169"	""	"36.1157811847"	"-115.155821443"	"Event Planning & Services, Hotels, Hotels & Travel"	"7026500040, +17026500040"	"0:0-0:0"	"0:0-0:0"	"0:0-0:0"	"0:0-0:0"	"0:0-0:0"	"0:0-0:0"	"0:0-0:0"	  0	0.000000e+00	 83	 0.0	 0	 0	 0	  0.0	
"Google"	"Cordonnerie Cyr Nettoyeur et Couture"	"3441 Rue Ontario E"	"Montréal"	"QC"	"H1W"	"Canada"	"45.5435071"	"-73.5459385"	"homeservices, localservices, shopping"	"+15145244144"	"9:30 AM – 6:00 PM"	"9:30 AM – 6:00 PM"	"9:30 AM – 6:00 PM"	"9:30 AM – 9:00 PM"	"9:30 AM – 9:00 PM"	"10:00 AM – 5:00 PM"	"11:00 AM – 4:00 PM"	 59	3.748699e+00	102	29.5	20	10	20	 79.5	MATCHED
"Facebook"	"Cordonnerie Cyr"	"3441 rue Ontario Est"	"Montreal"	"QC"	"H1W1R1"	"Canada"	"45.54350483583"	"-73.545872455406"	"Locksmith, Shoe Repair Shop"	"145244144"	"09:30-18:00"	"09:30-18:00"	"09:30-18:00"	"09:30-21:00"	"09:30-21:00"	"10:00-17:00"	"11:00-16:00"	100	8.573011e+00	102	50.0	20	 0	 0	 70.0	MATCHED
"Yelp"	"Cordonnerie Cyr"	"3441 Rue Ontario E"	"Montréal"	"QC"	"H1W 1R1"	""	"45.5435262"	"-73.5459781"	"Fashion, Shopping, Leather Goods, Shoe Repair, Local Services"	"5145244144, +15145244144"	"9:30-18:0"	"9:30-18:0"	"9:30-18:0"	"9:30-21:0"	"9:30-21:0"	"10:0-17:0"	"9:30-18:0"	  0	0.000000e+00	102	 0.0	 0	 0	 0	  0.0	
"Google"	"Tilden"	"941 Liberty Ave"	"Pittsburgh"	"PA"	"15222"	"USA"	"40.4435542"	"-79.9966108"	"nightlife, nightlife"	"+14122812040"	"2:00 – 3:30 AM"	"2:00 – 3:30 AM"	"2:00 – 3:30 AM"	"2:00 – 3:30 AM"	"2:00 – 3:30 AM"	"2:00 – 3:30 AM"	"2:00 – 3:30 AM"	100	1.213101e+00	115	50.0	20	 0	20	 90.0	MATCHED
"Facebook"	"Tilden"	"941 Liberty Ave"	"Pittsburgh"	"PA"	"15222"	"United States"	"40.44355"	"-79.99662"	"Dance & Night Club"	"4123910804"	"00:00-04:00"	"00:00-04:00"	"00:00-04:00"	"00:00-04:00"	"00:00-04:00"	"00:00-04:00"	"00:00-04:00"	100	2.117955e+00	115	50.0	20	10	 0	 80.0	MATCHED
"Yelp"	"Tilden"	"941 Liberty Ave"	"Pittsburgh"	"PA"	"15222"	""	"40.4435586"	"-79.9965977"	"Nightlife, Dance Clubs"	"4123910804, +14123910804"	"14:0-2:0"	"14:0-2:0"	"14:0-2:0"	"14:0-2:0"	"14:0-2:0"	"14:0-2:0"	"14:0-2:0"	  0	0.000000e+00	115	 0.0	 0	 0	 0	  0.0	
"Google"	"Borokhim's Oriental Rugs"	"1801 Monroe St"	"Madison"	"WI"	"53711"	"USA"	"43.0652315"	"-89.4163879"	"shopping, shopping"	"+16082572222"	"10:00 AM – 6:00 PM"	"10:00 AM – 6:00 PM"	"10:00 AM – 6:00 PM"	"10:00 AM – 6:00 PM"	"10:00 AM – 6:00 PM"	"10:00 AM – 5:00 PM"	"Closed"	 96	7.314372e+00	122	48.0	20	10	 0	 78.0	MATCHED
"Facebook"	"Borokhim's Oriental Rugs"	"1801 Monroe St"	"Madison"	"WI"	"53711"	"United States"	"43.06512"	"-89.416292"	"Carpet Cleaner, Carpet & Flooring Store, Arts & Entertainment"	"6082572222"	""	""	""	""	""	""	""	 96	1.112597e+01	122	48.0	15	10	20	 93.0	MATCHED
"Yelp"	"Borokhim Oriental Rugs"	"1801 Monroe St"	"Madison"	"WI"	"53711"	""	"43.0652198"	"-89.4162994"	"Gift Shops, Carpeting, Rugs, Home Services, Home & Garden, Shopping, Flowers & Gifts"	"6082572222, +16082572222"	"10:0-18:0"	"10:0-18:0"	"10:0-18:0"	"10:0-18:0"	"10:0-18:0"	"10:0-17:0"	"10:0-18:0"	  0	0.000000e+00	122	 0.0	 0	 0	 0	  0.0	
"Google"	"Courtyard by Marriott Charlotte Ballantyne"	"15635 Don Lochman Ln"	"Charlotte"	"NC"	"28277"	"USA"	"35.0592464"	"-80.8507718"	"localservices"	"+17043410041"	"Open 24 hours"	"Open 24 hours"	"Open 24 hours"	"Open 24 hours"	"Open 24 hours"	"Open 24 hours"	"Open 24 hours"	100	1.466458e+01	128	50.0	15	10	 0	 75.0	MATCHED
"Facebook"	"Courtyard by Marriott Charlotte Ballantyne"	"15635 Don Lochman Lane"	"Charlotte"	"NC"	"28277"	"United States"	"35.059277532449"	"-80.850758558175"	"Hotel"	"7043410041"	""	""	""	""	""	""	""	100	1.832083e+01	128	50.0	15	10	20	 95.0	MATCHED
"Yelp"	"Courtyard by Marriott Charlotte Ballantyne"	"15635 Don Lochman Lane"	"Charlotte"	"NC"	"28277"	""	"35.0591267"	"-80.850839"	"Hotels, Event Planning & Services, Hotels & Travel"	"7043410041, +17043410041"	"0:0-0:0"	"0:0-0:0"	"0:0-0:0"	"0:0-0:0"	"0:0-0:0"	"0:0-0:0"	"0:0-0:0"	  0	0.000000e+00	128	 0.0	 0	 0	 0	  0.0	
"Google"	"Crystal Bead Bazaar"	"4521 Butler St"	"Pittsburgh"	"PA"	"15201"	"USA"	"40.4728071"	"-79.9589563"	"shopping, shopping"	"+14126871513"	"Closed"	"10:00 AM – 6:00 PM"	"10:00 AM – 6:00 PM"	"10:00 AM – 9:00 PM"	"10:00 AM – 6:00 PM"	"10:00 AM – 6:00 PM"	"12:00 – 5:00 PM"	100	1.551176e+01	141	50.0	15	10	20	 95.0	MATCHED
"Facebook"	"Crystal Bead Bazaar"	"4521 Butler St"	"Pittsburgh"	"PA"	"15201"	"United States"	"40.47287"	"-79.95911"	"Jewelry & Watches Store, Arts & Crafts Store"	"4126871513"	"10:00-18:00"	"10:00-18:00"	"10:00-21:00"	"10:00-18:00"	"10:00-18:00"	"12:00-17:00"	"NA-NA"	100	2.344490e+00	141	50.0	20	10	 0	 80.0	MATCHED
"Yelp"	"Crystal Bead Bazaar"	"4521 Butler St"	"Pittsburgh"	"PA"	"15201"	""	"40.4728544"	"-79.9591286"	"Art Classes, Art Supplies, Arts & Crafts, Shopping, Local Services, Jewelry Repair, Education, Jewelry"	"4126871513, +14126871513"	"10:0-18:0"	"10:0-18:0"	"10:0-18:0"	"10:0-21:0"	"10:0-18:0"	"10:0-18:0"	"10:0-18:0"	  0	0.000000e+00	141	 0.0	 0	 0	 0	  0.0	
"Google"	"Starbucks"	"10430 W Cheyenne Ave"	"Las Vegas"	"NV"	"89129"	"USA"	"36.2186741"	"-115.3246334"	"restaurants, shopping"	"+17022568954"	"4:00 AM – 8:30 PM"	"4:00 AM – 8:30 PM"	"4:00 AM – 8:30 PM"	"4:00 AM – 8:30 PM"	"4:00 AM – 8:30 PM"	"5:00 AM – 8:30 PM"	"5:00 AM – 8:00 PM"	100	2.480132e+00	144	50.0	20	10	 0	 80.0	MATCHED
"Facebook"	"Starbucks"	"10430 West Cheyenne Ave"	"Las Vegas"	"NV"	"89129"	"United States"	"36.218666913942"	"-115.32467996187"	"Coffee Shop"	"7022568954"	"04:00-20:30"	"04:00-20:30"	"04:00-20:30"	"04:00-20:30"	"04:00-20:30"	"05:00-20:30"	"05:00-20:00"	100	2.298673e+00	144	50.0	20	10	20	100.0	MATCHED
"Yelp"	"Starbucks"	"10430 W Cheyenne Ave"	"Las Vegas"	"NV"	"89129"	""	"36.2186799013"	"-115.324660063"	"Food, Coffee & Tea"	"7022568954, +17022568954"	"5:0-20:0"	"5:0-20:0"	"5:0-20:0"	"5:0-20:0"	"5:0-20:0"	"5:0-20:0"	"5:0-20:0"	  0	0.000000e+00	144	 0.0	 0	 0	 0	  0.0	
"Google"	"Come As You Are Co-operative Warehouse"	"Toronto"	"Toronto"	"ON"		"Canada"	"43.6374217"	"-79.4750466"	"shopping"	"+14165047934"	""	""	""	""	""	""	""	 85	2.322894e+01	152	42.5	10	 0	20	 72.5	MATCHED
"Facebook"	"Come As You Are Co-operative"	"6 Ripley Ave"	"Toronto"	"ON"	"M6s3n9"	"Canada"	"43.63737"	"-79.47492"	"Local Business"	"8885047934"	""	""	""	""	""	""	""	100	1.160736e+01	152	50.0	15	10	 0	 75.0	MATCHED
"Yelp"	"Come As You Are Co-operative"	"2-6 Ripley Avenue"	"Toronto"	"ON"	"M6S 3N9"	""	"43.6373037"	"-79.4748088"	"Shopping, Electronics, Books, Mags, Music & Video, Bookstores, Adult, Music & DVDs"	"8885047934, +18885047934"	"11:0-19:0"	"11:0-19:0"	"11:0-19:0"	"11:0-19:0"	"11:0-19:0"	"11:0-19:0"	"11:0-19:0"	  0	0.000000e+00	152	 0.0	 0	 0	 0	  0.0	
"Google"	"Kimpton Tryon Park Hotel"	"303 S Church St"	"Charlotte"	"NC"	"28202"	"USA"	"35.2263336"	"-80.8464414"	"localservices"	"+17044452626"	"Open 24 hours"	"Open 24 hours"	"Open 24 hours"	"Open 24 hours"	"Open 24 hours"	"Open 24 hours"	"Open 24 hours"	100	2.149043e+01	156	50.0	10	10	 0	 70.0	MATCHED
"Facebook"	"Kimpton Tryon Park Hotel"	"303 S. Church Street"	"Charlotte"	"NC"	"28202"	"United States"	"35.2263036"	"-80.846507"	"Hotel"	"7044452626"	""	""	""	""	""	""	""	100	1.523288e+01	156	50.0	15	10	20	 95.0	MATCHED
"Yelp"	"Kimpton Tryon Park Hotel"	"303 S Church St"	"Charlotte"	"NC"	"28202"	""	"35.2263018"	"-80.8466745"	"Hotels, Hotels & Travel, Venues & Event Spaces, Event Planning & Services"	"7044452626, +17044452626"	"0:0-0:0"	"0:0-0:0"	"0:0-0:0"	"0:0-0:0"	"0:0-0:0"	"0:0-0:0"	"0:0-0:0"	  0	0.000000e+00	156	 0.0	 0	 0	 0	  0.0	
"Google"	"Dipped Auto Works"	"7355 S Valley View Blvd"	"Las Vegas"	"NV"	"89139"	"USA"	"36.056104"	"-115.190703"	"point_of_interest, establishment"	"+17023798716"	"9:00 AM – 6:00 PM"	"9:00 AM – 6:00 PM"	"9:00 AM – 6:00 PM"	"9:00 AM – 6:00 PM"	"9:00 AM – 6:00 PM"	"9:00 AM – 6:00 PM"	"9:00 AM – 6:00 PM"	100	0.000000e+00	157	50.0	20	10	 0	 80.0	MATCHED
"Facebook"	"Dipped Auto Works"	"7355 S. Valley View blvd 89139"	"Las Vegas"	"NV"	"89139"	"United States"	"36.0561"	"-115.19071"	"Business Service, Automotive Customization Shop"	"7023798716"	"09:00-17:00"	"09:00-17:00"	"09:00-17:00"	"09:00-17:00"	"09:00-17:00"	"09:00-17:00"	"09:00-17:00"	100	7.714471e-01	157	50.0	20	10	 0	 80.0	MATCHED
"Yelp"	"Dipped Auto Works"	"7355 S Valley View Blvd"	"Las Vegas"	"NV"	"89139"	""	"36.056104"	"-115.190703"	"Automotive, Auto Detailing, Auto Customization, Wheel & Rim Repair"	"7023798716, +17023798716"	"9:0-19:0"	"9:0-19:0"	"9:0-19:0"	"9:0-19:0"	"9:0-19:0"	"9:0-19:0"	"9:0-19:0"	  0	0.000000e+00	157	 0.0	 0	 0	 0	  0.0	
"Google"	"Popeyes Louisiana Kitchen"	"6985 S Rainbow Blvd"	"Las Vegas"	"NV"	"89118"	"USA"	"36.0617601"	"-115.2433199"	"restaurants"	"+17022211462"	"10:00 AM – 11:00 PM"	"10:00 AM – 11:00 PM"	"10:00 AM – 11:00 PM"	"10:00 AM – 11:00 PM"	"10:00 AM – 11:00 PM"	"10:00 AM – 11:00 PM"	"10:00 AM – 11:00 PM"	100	2.408767e+01	161	50.0	10	10	20	 90.0	MATCHED
"Facebook"	"Popeyes® Louisiana Kitchen"	"6985 S Rainbow Blvd"	"Spring Valley"	"NV"	"89118"	"United States"	"36.061825635"	"-115.243234677"	"Chicken Joint"	"7022211462"	""	""	""	""	""	""	""	100	2.737480e+01	161	50.0	10	10	 0	 70.0	MATCHED
"Yelp"	"Popeyes Louisiana Kitchen"	"6985 S Rainbow Blvd"	"Las Vegas"	"NV"	"89118"	""	"36.0615876"	"-115.2431583"	"Chicken Wings, Restaurants, Fast Food, Southern"	"7022211462, +17022211462"	"10:0-23:0"	"10:0-23:0"	"10:0-23:0"	"10:0-23:0"	"10:0-23:0"	"10:0-23:0"	"10:0-23:0"	  0	0.000000e+00	161	 0.0	 0	 0	 0	  0.0	
"Google"	"Verizon"	"4610 E Washington Ave"	"Madison"	"WI"	"53704"	"USA"	"43.1299629"	"-89.3066496"	"shopping"	"+16082491435"	"10:00 AM – 8:00 PM"	"10:00 AM – 8:00 PM"	"10:00 AM – 8:00 PM"	"10:00 AM – 8:00 PM"	"10:00 AM – 8:00 PM"	"10:00 AM – 8:00 PM"	"11:00 AM – 6:00 PM"	100	2.519984e+00	173	50.0	20	10	 0	 80.0	MATCHED
"Facebook"	"Verizon"	"4610 E Washington Ave"	"Madison"	"WI"	"53704"	"United States"	"43.129959124175"	"-89.306611146294"	"Mobile Phone Shop, Electronics Store"	"6082491435"	"10:00-20:00"	"10:00-20:00"	"10:00-20:00"	"10:00-20:00"	"10:00-20:00"	"10:00-20:00"	"11:00-18:00"	100	5.611108e+00	173	50.0	20	10	 0	 80.0	MATCHED
"Yelp"	"Verizon"	"4610 E Washington Ave"	"Madison"	"WI"	"53704"	""	"43.129972323"	"-89.3066778034"	"Professional Services, Internet Service Providers, Mobile Phones, Shopping, Electronics, Home Services"	"6082491435, +16082491435"	"10:0-20:0"	"10:0-20:0"	"11:0-17:0"	"10:0-20:0"	"10:0-20:0"	"10:0-20:0"	"10:0-20:0"	  0	0.000000e+00	173	 0.0	 0	 0	 0	  0.0	
"Google"	"The Commonplace Coffeehouse"	"5827 Forbes Ave"	"Pittsburgh"	"PA"	"15217"	"USA"	"40.4381928"	"-79.921914"	"restaurants, shopping"	"+14124220404"	"7:00 AM – 8:00 PM"	"7:00 AM – 8:00 PM"	"7:00 AM – 8:00 PM"	"7:00 AM – 8:00 PM"	"7:00 AM – 8:00 PM"	"8:00 AM – 8:00 PM"	"8:00 AM – 8:00 PM"	 80	7.498943e+00	177	40.0	20	10	 0	 70.0	MATCHED
"Facebook"	"The Commonplace Coffee Co."	"5827 Forbes Avenue"	"Pittsburgh"	"PA"	"15217"	"United States"	"40.4382"	"-79.9219"	"Coffee Shop"	"4124220404"	"07:00-20:00"	"07:00-20:00"	"07:00-20:00"	"07:00-20:00"	"07:00-20:00"	"08:00-20:00"	"08:00-20:00"	 84	7.355019e+00	177	42.0	20	10	20	 92.0	MATCHED
"Yelp"	"Commonplace Coffee"	"5827 Forbes Ave"	"Pittsburgh"	"PA"	"15217"	""	"40.4382549"	"-79.9219483"	"Coffee & Tea, Food"	"4124220404, +14124220404"	"7:0-20:0"	"7:0-20:0"	"7:0-20:0"	"7:0-20:0"	"7:0-20:0"	"8:0-20:0"	"7:0-20:0"	  0	0.000000e+00	177	 0.0	 0	 0	 0	  0.0	
"Google"	"Fany's Tailor Alteration Dry Cleaning"	"3370 S Hualapai Way"	"Las Vegas"	"NV"	"89117"	"USA"	"36.1284289"	"-115.314551"	"localservices"	"+17028383584"	"7:00 AM – 8:00 PM"	"7:00 AM – 8:00 PM"	"7:00 AM – 8:00 PM"	"7:00 AM – 8:00 PM"	"7:00 AM – 8:00 PM"	"8:00 AM – 6:00 PM"	"10:00 AM – 5:00 PM"	 83	9.809605e+00	223	41.5	20	10	20	 91.5	MATCHED
"Facebook"	"Fany's Tailor & Dry Cleaning"	"3370 S Hualapai Way Ste 130"	"Las Vegas"	"NV"	"89117"	"United States"	"36.1284294"	"-115.3145599"	"Dry Cleaner"	"7028383584"	""	""	""	""	""	""	""	100	1.054121e+01	223	50.0	15	10	 0	 75.0	MATCHED
"Yelp"	"Fany's Tailor & Dry Cleaning"	"3370 S Hualapai Way, Ste 130"	"Las Vegas"	"NV"	"89117"	""	"36.128386"	"-115.3144557"	"Sewing & Alterations, Local Services, Dry Cleaning, Laundry Services, Dry Cleaning & Laundry"	"7028383584, +17028383584"	"7:0-19:0"	"7:0-19:0"	"7:0-19:0"	"7:0-19:0"	"7:0-19:0"	"8:0-17:0"	"7:0-19:0"	  0	0.000000e+00	223	 0.0	 0	 0	 0	  0.0	
"Google"	"Sandy's Frozen Whip"	"17635 Lakeshore Blvd"	"Cleveland"	"OH"	"44119"	"USA"	"41.5841245"	"-81.5573891"	"shopping"	"+12165319400"	"10:00 AM – 10:00 PM"	"10:00 AM – 10:00 PM"	"10:00 AM – 10:00 PM"	"10:00 AM – 10:00 PM"	"10:00 AM – 10:00 PM"	"10:00 AM – 10:00 PM"	"10:00 AM – 10:00 PM"	100	2.687822e+00	241	50.0	20	10	 0	 80.0	MATCHED
"Facebook"	"Sandys frozen whip"	"17635 Lakeshore Blvd"	"Cleveland"	"OH"	"44119"	"United States"	"41.58413"	"-81.5574"	"Ice Cream Shop, Hot Dog Joint, Grocery Store"	"2165319400"	"10:00-22:00"	"10:00-22:00"	"10:00-22:00"	"10:00-22:00"	"10:00-22:00"	"10:00-22:00"	"00:00-22:00"	 92	1.914713e+00	241	46.0	20	10	20	 96.0	MATCHED
"Yelp"	"Sandy's Frozen Whip"	"17635 Lake Shore Blvd"	"Cleveland"	"OH"	"44119"	""	"41.5841472"	"-81.5574001"	"Food, Ice Cream & Frozen Yogurt"	"2165319400, +12165319400"	"10:0-22:0"	"10:0-22:0"	"10:0-22:0"	"10:0-22:0"	"10:0-22:0"	"10:0-22:0"	"10:0-22:0"	  0	0.000000e+00	241	 0.0	 0	 0	 0	  0.0	
"Google"	"Regal Cinemas Village Square 18"	"9400 W Sahara Ave"	"Las Vegas"	"NV"	"89117"	"USA"	"36.1471696"	"-115.3004098"	"arts"	"+18444627342"	"11:00 AM – 11:30 PM"	"11:00 AM – 11:30 PM"	"11:00 AM – 11:30 PM"	"11:00 AM – 11:30 PM"	"11:00 AM – 11:30 PM"	"11:00 AM – 11:30 PM"	"11:00 AM – 11:30 PM"	100	2.737094e+01	266	50.0	10	10	20	 90.0	MATCHED
"Facebook"	"Regal Cinemas Village Square 18"	"9400 W. Sahara Ave."	"Las Vegas"	"NV"	"89117"	"United States"	"36.147166"	"-115.300409"	"Movie Theater"	"8444627342"	"11:00-23:30"	"11:00-23:30"	"11:00-23:30"	"11:00-23:30"	"11:00-23:30"	"11:00-23:30"	"11:00-23:30"	100	2.772525e+01	266	50.0	10	10	 0	 70.0	MATCHED
"Yelp"	"Regal Cinemas Village Square 18"	"9400 W Sahara Ave"	"Las Vegas"	"NV"	"89117"	""	"36.1474013"	"-115.3003079"	"Cinema, Arts & Entertainment"	"8444627342, +18444627342"	"11:0-23:0"	"11:0-23:0"	"11:0-23:0"	"11:0-23:0"	"11:0-23:0"	"11:0-23:0"	"11:0-23:0"	  0	0.000000e+00	266	 0.0	 0	 0	 0	  0.0	
"Google"	"Firestone Complete Auto Care"	"6901 N Durango Dr"	"Las Vegas"	"NV"	"89149"	"USA"	"36.2853511"	"-115.2885276"	"auto, shopping"	"+17027269653"	"7:00 AM – 7:00 PM"	"7:00 AM – 7:00 PM"	"7:00 AM – 7:00 PM"	"7:00 AM – 7:00 PM"	"7:00 AM – 7:00 PM"	"7:00 AM – 6:00 PM"	"8:00 AM – 5:00 PM"	100	1.792055e+01	278	50.0	15	10	20	 95.0	MATCHED
