"name"	"address"	"city"	"postal_code"	"latitude"	"longitude"	"k_clusters"
"Kensington Oriental Medical Massage"	"1974 Kensington Road NW"	"Calgary"	"T2N 3R5"	51.0525403	-114.105036	"7046"
"Benix & Company"	"29 William Kitchen Road"	"Scarborough"	"M1P 5B7"	43.774568	-79.2806198	"6440"
"360 Custom Masonry & Pavers"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"Tapestry"	"313 19 Street NW"	"Calgary"	"T2N 2J2"	51.0549493	-114.1057418	"7046"
"Little Rascals Rescue"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"1-800-GOT-JUNK? Charlotte"	"3202 Motorsports Ln"	"Charlotte"	"28269"	35.2799002	-80.8360644	"1321"
"Elite Realty"	"8625 S Eastern Ave"	"Las Vegas"	"89123"	36.0329925	-115.1194795	"9331"
"Delesco Weed Control"	"21 Greenbank Drive"	"Richmond Hill"	"L4E 4C2"	43.9083842	-79.4496721	"6501"
"AR Heating & AC"	"80 N Pecos Rd, Ste G"	"Henderson"	"89074"	36.033237	-115.099529	"3019"
"Artisanal Foods"	"2053 Pama Ln"	"Las Vegas"	"89119"	36.0658388	-115.1239441	"3978"
"Green Valley Grocery"	"2599 Wigwam Pkwy"	"Henderson"	"89074"	36.0339057506	-115.099710499	"3019"
"Chef Panda"	"15557 W Bell Rd"	"Surprise"	"85374"	33.636983	-112.3959909	"17460"
"Ulta Beauty"	"1949 E Camelback Rd, Ste 146"	"Phoenix"	"85016"	33.5078576	-112.0403713	"7556"
"Kitchen Stuff Plus"	"29 William Kitchen Road, Suite J3"	"Scarborough"	"M1P 5B7"	43.774568	-79.2806198	"6440"
"Miracle Mile Delicatessen"	"1949 E Camelback Rd, Ste 160"	"Phoenix"	"85016"	33.507557	-112.040116	"7556"
"Golden State Storage"	"4888 E Tropicana Ave"	"Las Vegas"	"89121"	36.1009483337	-115.066581726	"9628"
"G & D Semi Trailer Repairs"	"1208 E Charleston Blvd"	"Las Vegas"	"89104"	36.1582292	-115.1363261	"679"
"Kenny's Lawn Service"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"Comvoice"	"2038 W Lone Cactus Dr"	"Phoenix"	"85027"	33.6805049	-112.1031076	"187"
"Oasis Hair"	"213 19 Street NW"	"Calgary"	"T2N 2H9"	51.0539608	-114.1058594	"7046"
"Sin City Vapor VI"	"80 N Pecos Rd, Ste J"	"Henderson"	"89074"	36.033294	-115.099549	"3019"
"Demetris Pizza"	"1986 Kensington Road NW"	"Calgary"	"T2N 3R5"	51.0528046	-114.1052022	"7046"
"Genrich Pharmacy"	"333 E Virginia Ave, Ste 120"	"Phoenix"	"85004"	33.4762527	-112.0677626	"7663"
"Peralta Law Group"	"101 Convention Center Dr, Ste 340"	"Las Vegas"	"89109"	36.1318813	-115.1610651	"12428"
"Fish Window Cleaning"	"3210 Motorsports Ln, Ste 4"	"Charlotte"	"28269"	35.2795406	-80.8359952	"1321"
"LCBO"	"21 William Kitchen Rd"	"Scarborough"	"M1P 5B7"	43.7740622	-79.27971	"6440"
"Oreck Authorized Sales & Service"	"1949 E Camelback Rd"	"Phoenix"	"85016"	33.507455	-112.040131	"7556"
"The Green Gurl"	"2601 N 3rd St, Ste 201B"	"Phoenix"	"85004"	33.476787	-112.0691816	"7663"
"Deer Valley Credit Union"	"15613 W Bell Rd"	"Surprise"	"85374"	33.6382951	-112.3963509	"17460"
"IndieMarch Film"	"1641 E Sunset, Ste B107"	"Las Vegas"	"89119"	36.0685957243	-115.123585897	"3978"
"Matthews Moving Systems"	"2365 Tipton Dr"	"Charlotte"	"28206"	35.270061	-80.843692	"1321"
"Henry's - Scarborough"	"11 William Kitchen Rd"	"Scarborough"	"M1P 5B7"	43.7727485	-79.2803748	"6440"
"Oasis Flower Shop"	"2002 Kensington Road NW"	"Calgary"	"T2N 3R6"	51.052567	-114.105951	"7046"
"Bee-Bee Nails & Spa"	"313-19th Street N.W."	"Calgary"	"T2N 2J2"	51.0549493	-114.1057418	"7046"
"Surprise Nails & Spa"	"15609 W Bell Rd, Ste 110"	"Surprise"	"85374"	33.636979	-112.3960108	"17460"
"Tim Hortons"	"1 William Kitchen Road"	"Scarborough"	"M1P 5B7"	43.7731495046	-79.2825760692	"6440"
"Artisanal Foods Cafe"	"2053 Pama Ln"	"Las Vegas"	"89119"	36.0658388	-115.1239441	"3978"
"Chapters"	"20 William Kitchen Road"	"Scarborough"	"M1P 5B7"	43.772163	-79.2828272	"6440"
"Starbucks"	"11710 Yonge St"	"Richmond Hill"	"L4E"	43.9107139	-79.4465968	"6501"
"Falcone Crawl Space & Structural Repair"	"4134 Statesville Rd"	"Charlotte"	"28269"	35.2752915	-80.8349804	"1321"
"Hometown Dogs"	"16820 E Ave Of The Fountains"	"Fountain Hills"	"85268"	33.604594	-111.717516	"4672"
"Tailgaters and Il Primo Pizza & Wings"	"15529 W Bell Rd"	"Surprise"	"85374"	33.6368013	-112.3968142	"17460"
"J Scott Refrigeration & Heating"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"Champ Home Inspections"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"Cho's Sushi and Roll"	"311 19 Street NW"	"Calgary"	"T2N 2J2"	51.0548223	-114.1057886	"7046"
"Vintage Caffeine"	"101 - 19th Street NW"	"Calgary"	"T2N 2H8"	51.0526356766	-114.105755625	"7046"
"First Choice Tree Service"	"2165 Pama Ln"	"Las Vegas"	"89119"	36.0660655	-115.1225139	"3978"
"Valeria Salon.Spa.Boutique"	"9620 Holly Point Dr, Ste 100"	"Huntersville"	"28078"	35.4416799	-80.8628696	"11164"
"MK Marketing Services"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"Villas at Mountain Vista Ranch"	"16630 North Reems Rd"	"Surprise"	"85374"	33.63536	-112.395509	"17460"
"Ultimate Floor Care"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"Pet Utopia"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"Saldivar & Associates"	"2627 N 3rd St, Ste 102"	"Phoenix"	"85004"	33.4777827	-112.0690546	"7663"
"Westmount Auto Centre"	"2001 Bowness Road NW"	"Calgary"	"T2N 3K9"	51.0508932	-114.1058382	"7046"
"Cold Stone Creamery"	"1949 E Camelback Rd, Ste 162"	"Phoenix"	"85016"	33.507455	-112.040131	"7556"
"DeHaven's Transfer & Storage of Charlotte"	"2213 Distrubution Center Dr, Ste E"	"Charlotte"	"28269"	35.2769773	-80.8400278	"1321"
"Bojangles' Famous Chicken 'n Biscuits"	"4131 Statesville Rd"	"Charlotte"	"28269"	35.275521	-80.8360774	"1321"
"Complete Pest Management"	NA	"Paradise Valley"	"85027"	33.6782379	-112.1012912	"187"
"Bank of America Mortgage"	"9611 Holly Point Dr"	"Huntersville"	"28078"	35.4417348	-80.864632	"11164"
"Richmond Hill Subaru"	"11645 Yonge St"	"Richmond Hill"	"L4E 3N8"	43.911356	-79.4465767	"6501"
"Apartments at Holly Crest"	"16408 Holly Crest Ln"	"Huntersville"	"28078"	35.4392222	-80.8624899	"11164"
"Infinity Concierge Services"	"101 Convention Center Dr, Ste 1225"	"Las Vegas"	"89109"	36.1318813	-115.1610651	"12428"
"Yvonne Yragui, PC"	"2627 North 3rd St, Ste 104"	"Phoenix"	"85004"	33.4777529	-112.069015	"7663"
"MetzFab Industries"	"2101 W Quail Ave, Ste 4"	"Phoenix"	"85027"	33.6784343	-112.1028673	"187"
"2 Fly Us Hot Air Balloon Rides"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"Bodyworks Center for Perfect Health"	"16810 Ave Of Fountains, Ste 200"	"Fountain Hills"	"85268"	33.60473	-111.7176354	"4672"
"Dryco Restoration"	"924 Pastel Dusk Ct"	"Henderson"	"89012"	36.0207719	-115.0266551	"14389"
"A Above All Moving Company"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"Gentle Dental Surprise"	"15601 W. Bell Road, Suite 202"	"Surprise"	"85379"	33.637225	-112.396185	"17460"
"Arahova Souvlaki"	"480 Boul Saint-Laurent"	"Montréal"	"H2Y 3Y7"	45.5055629	-73.5553385	"4471"
"Northlake Dermatology"	"9604 Holly Point Dr"	"Huntersville"	"28078"	35.4402065	-80.864632	"11164"
"PetSmart"	"1949 E Camelback Rd"	"Phoenix"	"85016"	33.5078576	-112.0403713	"7556"
"Sushi Shop St-Laurent"	"480 Saint-Laurent Boul"	"Montréal"	"H2Y 3Y7"	45.5055629	-73.5553385	"4471"
"Darcy Dauderis - Elite Realty"	"8625 S Eastern Ave"	"Las Vegas"	"89123"	36.0329635	-115.1194655	"9331"
"Goodies Galore"	"16830 North Ave Of The Fountains, Ste C"	"Fountain Hills"	"85268"	33.6042647	-111.7172019	"4672"
"Arizona Hearing Center"	"2627 N 3rd St, Ste 201"	"Phoenix"	"85004"	33.4777529	-112.069015	"7663"
"Arizona Allergy Associates"	"348 E Virginia Ave"	"Phoenix"	"85004"	33.4770155	-112.0675088	"7663"
"Restaurant La Suisse"	"119 Route 133"	"Saint-Pierre-de-Véronne-à-Pike-River"	"J0J 1P0"	45.12531	-73.0928131	"17825"
"Mr Greek Restaurants"	"15 William Kitchen Road"	"Scarborough"	"M1P 5B7"	43.7731107	-79.2812963	"6440"
"Fanny's Bistro & Deli"	"80 N Pecos Rd"	"Henderson"	"89074"	36.0332333	-115.0995279	"3019"
"Café Veritas"	"480 Boulevard Saint-Laurent"	"Montréal"	"H2Y 3Y7"	45.5055629	-73.555343	"4471"
"MD's Cooling and Heating, LLC."	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"De Castroverde Law Group"	"1149 S Maryland Pkwy"	"Las Vegas"	"89104"	36.1567694	-115.1361554	"679"
"Sunset Grill"	"37 William Kitchen Rd"	"Scarborough"	"M1P 5B7"	43.7725512736	-79.2810973417	"6440"
"Flooring Professionals"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"Central Blends"	"203 19th Street NW"	"Calgary"	"T2N 2H9"	51.0536256188	-114.105764014	"7046"
"Moroccan Castle"	"217 19 Street NW"	"Calgary"	"T2N 2H9"	51.0541148	-114.1056182	"7046"
"Low Cost Quality Movers"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"Red Carpet VIP"	"101 Convention Center Dr, Ste 260"	"Las Vegas"	"89109"	36.131931	-115.160451	"12428"
"Love Your Pets Too Pet Sitting"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"Green Valley Lock & Safe"	"80 N Pecos Rd, Ste G"	"Henderson"	"89074"	36.0331096601	-115.099849407	"3019"
"Starbucks"	"20 William Kitchen Road"	"Scarborough"	"M1P 5B7"	43.772163	-79.2828272	"6440"
"Stevie's Healing Arts & Spa"	"80 N Pecos, Ste A"	"Henderson"	"89074"	36.0332333	-115.0995279	"3019"
"Act 1 Realty"	"80 N Pecos Rd, Ste D"	"Henderson"	"89074"	36.0329528	-115.0997389	"3019"
"Velvet Style"	"317 19 Street NW"	"Calgary"	"T2N 2J2"	51.0550880432	-114.105758667	"7046"
"Bebe Nails & Spa"	"313 19 Street NW"	"Calgary"	"T2N 2J2"	51.0549493	-114.1057418	"7046"
"J. Casey Kemp - Independent Medicare Broker"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"Royal Canadian Legion"	"1918 Kensington Road NW"	"Calgary"	"T2N 3R5"	51.0526859845	-114.104635779	"7046"
"Parkview Car Wash"	"16827 E Parkview Ave"	"Fountain Hills"	"85268"	33.605253	-111.717056	"4672"
"Inferno performance"	"1950 W Rose Garden Ln, Ste 150"	"Phoenix"	"85027"	33.6770708	-112.101757	"187"
"Kyoto Bowl"	"1949 E Camelback Rd, Ste 164"	"Phoenix"	"85016"	33.507455	-112.040131	"7556"
"Good Motives"	"3202 Motorsports Ln, Unit 2"	"Charlotte"	"28269"	35.2799002	-80.8360644	"1321"
"Michaels"	"11 William Kitchen Road, Unit J4"	"Scarborough"	"M1P 5B7"	43.7727485	-79.2803748	"6440"
"Angel Gomez, MD"	"2601 N 3rd St, Ste 308"	"Phoenix"	"85004"	33.476787	-112.0691816	"7663"
"Alliance Protection Systems, Inc. - ADT Authorized Dealer"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"Newtek Technology Services"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"Stupak Las Vegas"	"101 Convention Center Dr, Ste 1004"	"Las Vegas"	"89109"	36.131931	-115.160451	"12428"
"Hair by Zack Munds"	"1949 E Camelback Rd"	"Phoenix"	"85016"	33.5072989821	-112.040253439	"7556"
"Pearson Professional Centers"	"101 Convention Center Dr, Ste 690"	"Las Vegas"	"89109"	36.132009	-115.160419	"12428"
"99 Cents Only Stores"	"4910 Tropicana Ave"	"Las Vegas"	"89121"	36.1009462	-115.0656509	"9628"
"Colonial Property Management"	"8595 S Eastern Ave"	"Las Vegas"	"89123"	36.033274	-115.119559	"9331"
"411 Locals"	"101 Convention Center Dr, Ste 900"	"Las Vegas"	"89109"	36.1320237946	-115.161329508	"12428"
"The Brake Guys"	"101 Convention Center Dr, Ste 700"	"Las Vegas"	"89109"	36.131931	-115.160451	"12428"
"Vina Pizza & Steak House"	"311-19th Street NW"	"Calgary"	"T2N 2J2"	51.0548223	-114.1057886	"7046"
"Daniel Mclaughlin - Elite Realty"	"8625 S Eastern Ave"	"Las Vegas"	"89123"	36.0329635	-115.1194655	"9331"
"Resco Restaurant Equipment & Supply Co."	"1300 E Charleston Blvd"	"Las Vegas"	"89104"	36.1582525	-115.1354618	"679"
"A Tint Of Excellence"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"Syms Mark, MD"	"2627 N 3rd St, Ste 201"	"Phoenix"	"85004"	33.4777529	-112.069015	"7663"
"Kristina Gogo - Elite Realty"	"8625 S Eastern Ave"	"Las Vegas"	"89123"	36.0329925	-115.1194795	"9331"
"Phoenix Men's Health Center"	"2601 N 3rd St, Ste 304"	"Phoenix"	"85004"	33.476912	-112.069109	"7663"
"Candi's Cabaret"	"3935 Statesville Ave"	"Charlotte"	"28206"	35.2714959772	-80.8375149965	"1321"
"Pit Road Bar & Grill"	"2330 Tipton Dr, Ste 100, Victory Lane Karting"	"Charlotte"	"28206"	35.271145	-80.842316	"1321"
"Iceman Cooling & Heating"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"Dairy Lane Café"	"319 19th Street NW"	"Calgary"	"T2N 2J2"	51.055060311	-114.105781922	"7046"
"Casey's Bar & Grill"	"37 William Kitchen Rd"	"Scarborough"	"M1P 5B7"	43.7730485	-79.2814539	"6440"
"Cindy & Danny's Nails"	"16810 E Avenue Of The Founta"	"Fountain Hills"	"85268"	33.60473	-111.7176354	"4672"
"Oreilly Auto Parts"	"4906 E Tropicana Ave"	"Las Vegas"	"89121"	36.1006835	-115.0655995	"9628"
"AZ Mama Bear Pet Care"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"Papa Murphy's"	"15557 West Bell Road"	"Surprise"	"85374"	33.636983	-112.3959909	"17460"
"LA Fitness"	"33 William Kitchen Rd., Unit J5"	"Scarborough"	"M1P 5B7"	43.7745671	-79.2816273	"6440"
"Kokopelli Mexican Grill"	"1949 E Camelback Rd, Ste 140"	"Phoenix"	"85016"	33.507455	-112.040131	"7556"
"Ballas Chiropractic At Northcross"	"9718 Sam Furr Rd, Ste D"	"Huntersville"	"28078"	35.4412779	-80.862152	"11164"
"Phoenix Hot Air Balloon Rides - Aerogelic Ballooning"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"Miracles Hair & Nails"	"4926 E Tropicana Ave"	"Las Vegas"	"89121"	36.1012626	-115.0652176	"9628"
"Leonard V Sominsky"	"2700 N 3rd St, Ste 2006"	"Phoenix"	"85004"	33.4782062	-112.0698903	"7663"
"Healing Motion"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"Visions Electronics"	"33 William Kitchen Road, Unit J6"	"Toronto"	"M1P 5B7"	43.7727014	-79.280731	"6440"
"Truefitt & Hill"	"Scotia Plaza, 40 King Street W, Ground Floor"	"Toronto"	"M5H 3Y2"	43.650982	-79.379854	"9136"
"Foreign Money Exchange"	"101 Convention Center Dr, Ste 122"	"Las Vegas"	"89109"	36.1318813	-115.1610651	"12428"
"Intuitive Development"	"320 E Virginia Ave, Ste 202"	"Phoenix"	"85004"	33.4773965	-112.0684324	"7663"
"The Loop"	"1978 Kensington Road NW"	"Calgary"	"T2N 3R5"	51.0525403	-114.1050224	"7046"
"Salad Days-Bay Adelaide Centre"	"333 Bay Street"	"Toronto"	"M5H 2R2"	43.6504309773	-79.3800310701	"9136"
"Rahul Rishi, DO"	"348 E Virginia Ave"	"Phoenix"	"85004"	33.4770086	-112.0675087	"7663"
"Arizona Mobile Notary Services"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"Pilot Travel Center"	"3807 Statesville Ave"	"Charlotte"	"28206"	35.2704719	-80.8380922	"1321"
"Fuze Salon"	"1966 Kensington Road NW"	"Calgary"	"T2N 3R5"	51.0525211	-114.1045657	"7046"
"Northcross Eye Associates"	"9710 Sam Furr Rd, Unit A"	"Huntersville"	"28078"	35.4413942	-80.8623837	"11164"
"Fresh & Easy"	"4975 E Tropicana Ave"	"Las Vegas"	"89121"	36.0998088	-115.0644823	"9628"
"Siegel Suites Select"	"220 Convention Center Dr"	"Las Vegas"	"89109"	36.1326013	-115.1612338	"12428"
"Elements Massage"	"1949 E Camelback Rd, Ste 142"	"Phoenix"	"85016"	33.507867	-112.040416	"7556"
"Taylor and Associates PLLC"	"320 E Virginia Ave, Ste 100"	"Phoenix"	"85004"	33.4769433	-112.0682238	"7663"
"Best Buy"	"1949 E Camelback Rd"	"Phoenix"	"85016"	33.5082036152	-112.040087827	"7556"
"Dapper Dog"	"15601 W Bell Rd, Ste 206"	"Surprise"	"85374"	33.6381430323	-112.39485969	"17460"
"Radiant Church"	"15522 W Paradise Ln"	"Surprise"	"85374"	33.6328158	-112.3956432	"17460"
"Wellsprings Medical"	"11685 Yonge Street, Unite 101A & 102A"	"Richmond Hill"	"L4E 0K7"	43.912792	-79.4466365	"6501"
"Public Storage"	"1949 E Camelback Rd, Ste 21"	"Phoenix"	"85016"	33.507867	-112.040416	"7556"
"US Dental Group"	"4956 E Tropicana Ave"	"Las Vegas"	"89121"	36.1006544	-115.0646949	"9628"
"Speedtech Auto Racing School"	"4333 Motorsports Drive SW"	"Charlotte"	"28269"	35.2800629	-80.8344235	"1321"
"Just Ask Meghan"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"Family Dollar"	"4895 Tropicana"	"Las Vegas"	"89121"	36.099869852	-115.066059383	"9628"
"Beautif-EYE Biltmore"	"1949 E Camelback Rd, Ste 161"	"Phoenix"	"85016"	33.507867	-112.040416	"7556"
"Corner Bakery Cafe"	"1949 E Camelback Rd"	"Phoenix"	"85016"	33.5074548883	-112.040130906	"7556"
"Alta Nissan Richmond Hill"	"11667 Yonge St"	"Richmond Hill"	"L4E 3N8"	43.911659	-79.4466641	"6501"
"Vegas Indoor Skydiving"	"200 Convention Center Dr"	"Las Vegas"	"89109"	36.1326553	-115.1615415	"12428"
"Winchell's Donut House"	"4850 E Tropicana Ave"	"Las Vegas"	"89121"	36.1003333583	-115.067530833	"9628"
"Jollibee"	"15 William Kitchen Road"	"Toronto"	"M1P 5B7"	43.7731107	-79.2812963	"6440"
"Purrfurred Pets"	"15601 W Bell Rd, Ste 204"	"Surprise"	"85374"	33.6371907	-112.395832	"17460"
"Booty's Wings Burgers & Beer"	"15557 W Bell Rd, Ste 405"	"Surprise"	"85374"	33.636983	-112.3959909	"17460"
"1918 Tap & Table"	"1918 Kensington Road NW"	"Calgary"	"T2N 3R5"	51.0527570651	-114.10401454	"7046"
"Monte Carlo Resort"	"3770 S Las Vegas Blvd"	"Las Vegas"	"89109"	36.1320051694	-115.161449956	"12428"
"Addicted To Clean"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"Macayo's Mexican Table"	"15565 W Bell Rd"	"Surprise"	"85374"	33.6382212	-112.3953859	"17460"
"Nando's"	"15 William Kitchen Road"	"Toronto"	"M1P 5B7"	43.7731098006	-79.2811384052	"6440"
"El Gran Taco"	"4924 E Tropicana Ave"	"Las Vegas"	"89121"	36.1003176	-115.0662215	"9628"
"Up & Away Landscaping"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"Wild Wing"	"11 William Kitchen Rd"	"Toronto"	"M1P 5B7"	43.7727485	-79.2803748	"6440"
"Banner Urgent Care"	"15521 West Bell Rd"	"Surprise"	"85374"	33.6376009509	-112.394455796	"17460"
"Tom's Smoke Shop"	"4920 E Tropicana Ave"	"Las Vegas"	"89121"	36.100332	-115.0662412	"9628"
